,,,,,,,,,,,,,,,,,,,,,"% change in Instantaneous ROP compared to 66872_pdc
(WOB_RPM_ROCK_CONFINING PRESSURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,% change in Torque compared to 66872_pdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,% Change in ROP/Torque compared to 66872_pdc,,,,,,,,,,,,,
Case Info (RPM_ROCK_CONFINING PRESSURE),,,,,,,Instantaneous ROP (ft/hr),,,,,,,Bit Advance (in/rev),,,,,,,% change in Instantaneous ROP,,,,,,Cumulative Time (Hours),,,,,,,Cumulative Footage (ft),,,,,,,Torque (ft-lbf),,,,,,,% change in Instantaneous Torque,,,,,,Total imbalance force (% of WOB),,,,,,,Circumferential imbalance force (% of WOB),,,,,,,Radial imbalance force (% of WOB),,,,,,,Beta Angle,,,,,,,RIF/CIF,,,,,,,Normalized IF Ratio,,,,,,,ROP/Torque,,,,,,,% Change in ROP/Torque,,,,,,,,Interpolated values,,,,,
Case,66872_pdc,66872_pdc,0,0,0,,Case,66872_pdc,66872_pdc,0,0,0,,Case,66872_pdc,66872_pdc,0,0,0,,Case,66872_pdc,0,0,0,,Case,66872_pdc,66872_pdc,0,0,0,,Case,66872_pdc,66872_pdc,0,0,0,,Case,66872_pdc,66872_pdc,0,0,0,,Case,66872_pdc,0,0,0,,Case,66872_pdc,66872_pdc,0,0,0,,Case,66872_pdc,66872_pdc,0,0,0,,Case,66872_pdc,66872_pdc,0,0,0,,Case,66872_pdc,66872_pdc,0,0,0,,Case,66872_pdc,66872_pdc,0,0,0,,Case,66872_pdc,66872_pdc,0,0,0,,Case,66872_pdc,66872_pdc,0,0,0,,Case,66872_pdc,0,0,0,,,,,66872_pdc,66872_pdc,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20_240_CM_3,20_240_CM_3,,,,,1,81.6,81.6,,,,,1,0.068,0.068,,,,,1,0.0,,,,,1,,,,,,,1,,,,,,,1,5736.0,5736.0,,,,,1,0.0,,,,,1,4.75,4.75,,,,,1,4.40,4.40,,,,,1,3.72,3.72,,,,,1,109.0,109.0,,,,,1,0.84,0.84,,,,,1,0.84,0.84,,,,,1,0.014,0.014,,,,,1,0.00,,,,,,,Hours,,,,,
2,30_240_CM_3,30_240_CM_3,,,,,2,110.8,110.8,,,,,2,0.092,0.092,,,,,2,0.0,,,,,2,,,,,,,2,,,,,,,2,7563.5,7563.5,,,,,2,0.0,,,,,2,3.87,3.87,,,,,2,3.62,3.62,,,,,2,3.39,3.39,,,,,2,113.2,113.2,,,,,2,0.94,0.94,,,,,2,0.94,0.94,,,,,2,0.015,0.015,,,,,2,0.00,,,,,,,Footage,,,,,
3,40_240_CM_3,40_240_CM_3,,,,,3,137.6,137.6,,,,,3,0.115,0.115,,,,,3,0.0,,,,,3,,,,,,,3,,,,,,,3,9218.9,9218.9,,,,,3,0.0,,,,,3,3.40,3.40,,,,,3,3.22,3.22,,,,,3,3.27,3.27,,,,,3,116.8,116.8,,,,,3,1.02,1.02,,,,,3,0.98,0.98,,,,,3,0.015,0.015,,,,,3,0.00,,,,,,,ROP,,,,,
4,20_240_CO_3,20_240_CO_3,,,,,4,96.7,96.7,,,,,4,0.081,0.081,,,,,4,0.0,,,,,4,,,,,,,4,,,,,,,4,5346.6,5346.6,,,,,4,0.0,,,,,4,4.51,4.51,,,,,4,4.21,4.21,,,,,4,3.84,3.84,,,,,4,112.1,112.1,,,,,4,0.91,0.91,,,,,4,0.91,0.91,,,,,4,0.018,0.018,,,,,4,0.00,,,,,,,Average ROP,,,,,
5,30_240_CO_3,30_240_CO_3,,,,,5,171.0,171.0,,,,,5,0.143,0.143,,,,,5,0.0,,,,,5,,,,,,,5,,,,,,,5,8778.9,8778.9,,,,,5,0.0,,,,,5,3.27,3.27,,,,,5,4.51,4.51,,,,,5,3.56,3.56,,,,,5,134.0,134.0,,,,,5,0.79,0.79,,,,,5,0.79,0.79,,,,,5,0.020,0.020,,,,,5,0.00,,,,,,,,,,,,
6,40_240_CO_3,40_240_CO_3,,,,,6,252.8,252.8,,,,,6,0.211,0.211,,,,,6,0.0,,,,,6,,,,,,,6,,,,,,,6,12209.3,12209.3,,,,,6,0.0,,,,,6,2.77,2.77,,,,,6,4.66,4.66,,,,,6,3.18,3.18,,,,,6,144.5,144.5,,,,,6,0.68,0.68,,,,,6,0.68,0.68,,,,,6,0.021,0.021,,,,,6,0.00,,,,,,,,,,,,
7,20_240_CoT_3,20_240_CoT_3,,,,,7,33.6,33.6,,,,,7,0.028,0.028,,,,,7,0.0,,,,,7,,,,,,,7,,,,,,,7,3531.2,3531.2,,,,,7,0.0,,,,,7,5.01,5.01,,,,,7,2.80,2.80,,,,,7,5.02,5.02,,,,,7,106.5,106.5,,,,,7,1.80,1.80,,,,,7,0.56,0.56,,,,,7,0.010,0.010,,,,,7,0.00,,,,,,,,,,,,
8,30_240_CoT_3,30_240_CoT_3,,,,,8,58.6,58.6,,,,,8,0.049,0.049,,,,,8,0.0,,,,,8,,,,,,,8,,,,,,,8,5645.8,5645.8,,,,,8,0.0,,,,,8,4.74,4.74,,,,,8,2.97,2.97,,,,,8,4.56,4.56,,,,,8,105.4,105.4,,,,,8,1.54,1.54,,,,,8,0.65,0.65,,,,,8,0.010,0.010,,,,,8,0.00,,,,,,,,,,,,
9,40_240_CoT_3,40_240_CoT_3,,,,,9,84.6,84.6,,,,,9,0.071,0.071,,,,,9,0.0,,,,,9,,,,,,,9,,,,,,,9,7704.8,7704.8,,,,,9,0.0,,,,,9,4.26,4.26,,,,,9,3.05,3.05,,,,,9,4.14,4.14,,,,,9,109.2,109.2,,,,,9,1.36,1.36,,,,,9,0.74,0.74,,,,,9,0.011,0.011,,,,,9,0.00,,,,,,,,,,,,
10,20_240_RS_3,20_240_RS_3,,,,,10,175.3,175.3,,,,,10,0.146,0.146,,,,,10,0.0,,,,,10,,,,,,,10,,,,,,,10,5708.1,5708.1,,,,,10,0.0,,,,,10,3.70,3.70,,,,,10,4.53,4.53,,,,,10,3.76,3.76,,,,,10,128.0,128.0,,,,,10,0.83,0.83,,,,,10,0.83,0.83,,,,,10,0.031,0.031,,,,,10,0.00,,,,,,,,,,,,
11,30_240_RS_3,30_240_RS_3,,,,,11,283.7,283.7,,,,,11,0.236,0.236,,,,,11,0.0,,,,,11,,,,,,,11,,,,,,,11,8457.5,8457.5,,,,,11,0.0,,,,,11,2.78,2.78,,,,,11,4.31,4.31,,,,,11,3.08,3.08,,,,,11,139.9,139.9,,,,,11,0.71,0.71,,,,,11,0.71,0.71,,,,,11,0.034,0.034,,,,,11,0.00,,,,,,,,,,,,
12,40_240_RS_3,40_240_RS_3,,,,,12,397.7,397.7,,,,,12,0.331,0.331,,,,,12,0.0,,,,,12,,,,,,,12,,,,,,,12,10956.7,10956.7,,,,,12,0.0,,,,,12,2.03,2.03,,,,,12,3.86,3.86,,,,,12,2.76,2.76,,,,,12,149.6,149.6,,,,,12,0.72,0.72,,,,,12,0.72,0.72,,,,,12,0.036,0.036,,,,,12,0.00,,,,,,,,,,,,
13,20_240_UL_3,20_240_UL_3,,,,,13,24.8,24.8,,,,,13,0.021,0.021,,,,,13,0.0,,,,,13,,,,,,,13,,,,,,,13,3594.0,3594.0,,,,,13,0.0,,,,,13,4.97,4.97,,,,,13,2.71,2.71,,,,,13,5.27,5.27,,,,,13,111.4,111.4,,,,,13,1.94,1.94,,,,,13,0.52,0.52,,,,,13,0.007,0.007,,,,,13,0.00,,,,,,,,,,,,
14,30_240_UL_3,30_240_UL_3,,,,,14,43.3,43.3,,,,,14,0.036,0.036,,,,,14,0.0,,,,,14,,,,,,,14,,,,,,,14,5563.1,5563.1,,,,,14,0.0,,,,,14,5.01,5.01,,,,,14,3.02,3.02,,,,,14,5.07,5.07,,,,,14,108.5,108.5,,,,,14,1.68,1.68,,,,,14,0.60,0.60,,,,,14,0.008,0.008,,,,,14,0.00,,,,,,,,,,,,
15,40_240_UL_3,40_240_UL_3,,,,,15,61.9,61.9,,,,,15,0.052,0.052,,,,,15,0.0,,,,,15,,,,,,,15,,,,,,,15,7418.5,7418.5,,,,,15,0.0,,,,,15,4.35,4.35,,,,,15,2.67,2.67,,,,,15,4.47,4.47,,,,,15,109.9,109.9,,,,,15,1.67,1.67,,,,,15,0.60,0.60,,,,,15,0.008,0.008,,,,,15,0.00,,,,,,,,,,,,
